58
WellingtonCity,370,820
Porirua,140,560
Petone,850,230
Eastbourne,630,770
Upper Hutt,890,80
Masterton,410,650
Tawa,760,340
Seaview,280,490
Node9,530,120
Node10,70,880
Node11,610,390
Node12,840,170
Node13,220,730
Node14,800,510
Node15,330,870
Node16,450,290
Node17,800,660
Node18,190,840
Node19,580,270
Node20,710,440
Node21,360,890
Node22,120,600
Node23,670,310
Node24,250,860
Node25,820,530
Node26,480,150
Node27,770,680
Node28,300,840
Node29,550,210
Node30,640,800
Node31,110,470
Node32,880,360
Node33,420,590
Node34,730,280
Node35,860,750
Node36,200,830
Node37,590,240
Node38,860,410
Node39,320,880
Node40,470,130
Node41,810,620
Node42,180,790
Node43,650,350
Node44,810,540
Node45,290,870
Node46,560,220
Node47,740,690
Node48,340,850
Node49,570,260
Node50,680,810
Node51,130,480
Node52,890,370
Node53,430,580
Node54,720,290
Node55,850,760
Node56,210,820
Node57,600,250
Node58,870,400
100
WellingtonCity,Node9,234
Porirua,Node10,876
Petone,Node11,543
Eastbourne,Node12,321
Upper Hutt,Node13,654
Masterton,Node14,789
Tawa,Node15,123
Seaview,Node16,456
Node9,Node17,987
Node10,Node18,234
Node11,Node19,876
Node12,Node20,543
Node13,Node21,321
Node14,Node22,654
Node15,Node23,789
Node16,Node24,123
Node17,Node25,456
Node18,Node26,987
Node19,Node27,234
Node20,Node28,876
Node21,Node29,543
Node22,Node30,321
Node23,Node31,654
Node24,Node32,789
Node25,Node33,123
Node26,Node34,456
Node27,Node35,987
Node28,Node36,234
Node29,Node37,876
Node30,Node38,543
Node31,Node39,321
Node32,Node40,654
Node33,Node41,789
Node34,Node42,123
Node35,Node43,456
Node36,Node44,987
Node37,Node45,234
Node38,Node46,876
Node39,Node47,543
Node40,Node48,321
Node41,Node49,654
Node42,Node50,789
Node43,Node51,123
Node44,Node52,456
Node45,Node53,987
Node46,Node54,234
Node47,Node55,876
Node48,Node56,543
Node49,Node57,321
Node50,Node58,654
Node51,WellingtonCity,789
Node52,Porirua,123
Node53,Petone,456
Node54,Eastbourne,987
Node55,Upper Hutt,234
Node56,Masterton,876
Node57,Tawa,543
Node58,Seaview,321
Node9,Node10,654
Node10,Node11,789
Node11,Node12,123
Node12,Node13,456
Node13,Node14,987
Node14,Node15,234
Node15,Node16,876
Node16,Node17,543
Node17,Node18,321
Node18,Node19,654
Node19,Node20,789
Node20,Node21,123
Node21,Node22,456
Node22,Node23,987
Node23,Node24,234
Node24,Node25,876
Node25,Node26,543
Node26,Node27,321
Node27,Node28,654
Node28,Node29,789
Node29,Node30,123
Node30,Node31,456
Node31,Node32,987
Node32,Node33,234
Node33,Node34,876
Node34,Node35,543
Node35,Node36,321
Node36,Node37,654
Node37,Node38,789
Node38,Node39,123
Node39,Node40,456
Node40,Node41,987
Node41,Node42,234
Node42,Node43,876
Node43,Node44,543
Node44,Node45,321
Node45,Node46,654
Node46,Node47,789
Node47,Node48,123
Node48,Node49,456
Node49,Node50,987
Node50,Node51,234
Node51,Node52,876
Node52,Node53,543
Node53,Node54,321
Node54,Node55,654
Node55,Node56,789
Node56,Node57,123
Node57,Node58,456
